customer_id,first_name,last_name,customer_city,customer_country,birthdate,marital_status,yearly_income,gender,total_children,education,acct_open_date,member_card,occupation,homeowner
1,Sheri,Nowmer,Tlaxiaco,Mexico,8/26/1961,M,$30K - $50K,F,4,Partial High School,9/10/1991,Bronze,Skilled Manual,Y
2,Derrick,Whelply,Sooke,Canada,7/3/1915,S,$70K - $90K,M,1,Partial High School,3/11/1993,Bronze,Professional,N
3,Jeanne,Derry,Issaquah,USA,6/21/1910,M,$50K - $70K,F,1,Bachelors Degree,6/11/1991,Bronze,Professional,Y
4,Michael,Spence,Burnaby,Canada,6/20/1969,M,$10K - $30K,M,4,Partial High School,5/21/1994,Normal,Skilled Manual,N
5,Maya,Gutierrez,Novato,USA,5/10/1951,S,$30K - $50K,F,3,Partial College,8/21/1992,Silver,Manual,N
6,Robert,Damstra,Lynnwood,USA,10/8/1942,S,$70K - $90K,F,3,Bachelors Degree,4/5/1992,Bronze,Professional,Y
7,Rebecca,Kanagaki,Tlaxiaco,Mexico,3/27/1949,M,$30K - $50K,F,2,Partial High School,5/1/1991,Bronze,Manual,Y
8,Kim,Brunner,San Andres,Mexico,8/10/1922,M,$50K - $70K,M,2,Bachelors Degree,6/11/1992,Bronze,Professional,Y
9,Brenda,Blumberg,Richmond,Canada,6/23/1979,M,$10K - $30K,M,5,Partial High School,11/14/1993,Normal,Skilled Manual,Y
10,Darren,Stanz,Lake Oswego,USA,8/26/1949,S,$30K - $50K,M,4,Bachelors Degree,5/4/1993,Golden,Management,N
11,Jonathan,Murraiin,La Mesa,USA,6/20/1967,S,$50K - $70K,M,4,High School Degree,4/23/1992,Bronze,Manual,N
12,Jewel,Creek,Chula Vista,USA,10/18/1971,S,$30K - $50K,F,1,High School Degree,7/6/1991,Bronze,Skilled Manual,N
13,Peggy,Medina,Mexico City,Mexico,10/12/1975,S,$30K - $50K,M,4,High School Degree,10/9/1990,Bronze,Manual,N
14,Bryan,Rutledge,Lincoln Acres,USA,7/9/1912,M,$50K - $70K,F,2,Bachelors Degree,10/19/1992,Bronze,Management,Y
15,Walter,Cavestany,Oak Bay,Canada,11/5/1941,S,$90K - $110K,M,3,Graduate Degree,8/9/1991,Bronze,Professional,Y
16,Peggy,Planck,Camacho,Mexico,6/2/1919,M,$50K - $70K,F,2,High School Degree,12/17/1993,Bronze,Skilled Manual,Y
17,Brenda,Marshall,Arcadia,USA,3/20/1928,S,$90K - $110K,M,3,High School Degree,10/23/1993,Bronze,Management,Y
18,Daniel,Wolter,Altadena,USA,9/21/1914,M,$30K - $50K,M,3,Partial College,10/24/1992,Bronze,Professional,Y
19,Dianne,Collins,Oakland,USA,7/20/1953,S,$70K - $90K,F,1,High School Degree,9/21/1992,Bronze,Professional,N
20,Beverly,Baker,Spring Valley,USA,4/16/1974,S,$10K - $30K,F,2,Partial High School,4/2/1993,Normal,Manual,Y
21,Pedro,Castillo,Renton,USA,11/4/1918,S,$30K - $50K,M,1,High School Degree,4/26/1992,Normal,Manual,Y
22,Laurie,Borges,Bellingham,USA,10/7/1947,M,$30K - $50K,F,4,High School Degree,8/8/1991,Golden,Skilled Manual,Y
23,Shauna,Wyro,La Jolla,USA,10/24/1916,S,$30K - $50K,F,2,High School Degree,8/12/1992,Silver,Manual,N
24,Jacqueline,Wyllie,Santa Fe,Mexico,12/4/1921,S,$30K - $50K,F,0,High School Degree,5/19/1991,Bronze,Manual,N
25,Lin,Conley,Haney,Canada,9/26/1952,S,$70K - $90K,F,3,High School Degree,11/18/1991,Bronze,Professional,N
26,Jose,Bernard,Burbank,USA,8/25/1954,S,$10K - $30K,M,0,Partial High School,9/21/1992,Normal,Skilled Manual,N
27,Charles,Macaluso,Anacortes,USA,3/17/1934,M,$30K - $50K,F,1,High School Degree,10/21/1991,Bronze,Manual,Y
28,Lois,Wood,Everett,USA,3/12/1970,S,$10K - $30K,F,1,Partial High School,9/28/1993,Silver,Manual,Y
29,Kevin,Armstrong,Oak Bay,Canada,10/4/1937,S,$10K - $30K,F,2,Partial High School,9/1/1993,Normal,Manual,N
30,Cody,Goldey,Milwaukie,USA,7/8/1917,S,$50K - $70K,F,4,Bachelors Degree,5/9/1993,Bronze,Professional,Y
31,Paula,Nickell,Concord,USA,7/2/1978,M,$50K - $70K,F,4,Graduate Degree,2/6/1991,Golden,Professional,Y
32,Eric,Long,Ladner,Canada,1/8/1930,S,$10K - $30K,F,2,Partial High School,6/23/1991,Normal,Manual,Y
33,Mary,Solimena,Santa Cruz,USA,7/23/1971,M,$30K - $50K,F,2,High School Degree,8/15/1992,Bronze,Skilled Manual,N
34,Nathan,Muenich,La Mesa,USA,10/21/1919,M,$50K - $70K,F,3,Bachelors Degree,2/27/1990,Silver,Management,Y
35,Ed,Young,Merida,Mexico,4/17/1920,M,$30K - $50K,M,5,Partial College,9/21/1992,Bronze,Skilled Manual,Y
36,Donna,Arnold,Oregon City,USA,11/22/1915,S,$10K - $30K,M,1,Partial High School,6/24/1990,Normal,Skilled Manual,N
37,Jennifer,Cooper,Seattle,USA,4/6/1961,S,$50K - $70K,M,0,Bachelors Degree,6/2/1992,Bronze,Professional,N
38,Peggy,Petty,Arcadia,USA,4/9/1958,S,$30K - $50K,M,1,Partial College,6/8/1993,Bronze,Management,N
39,Jessica,Olguin,Lebanon,USA,1/23/1959,M,$90K - $110K,F,4,Graduate Degree,3/10/1992,Bronze,Professional,Y
40,Phyllis,Burchett,Santa Cruz,USA,10/27/1926,S,$110K - $130K,M,1,Partial College,8/14/1992,Bronze,Professional,Y
41,Howard,Bechard,W. Linn,USA,4/19/1919,S,$110K - $130K,M,1,High School Degree,10/10/1990,Bronze,Professional,N
42,Doris,Carter,San Andres,Mexico,3/27/1965,M,$70K - $90K,F,3,Bachelors Degree,7/21/1993,Golden,Management,Y
43,Juanita,Sharp,Burbank,USA,5/16/1977,S,$50K - $70K,F,2,Bachelors Degree,3/19/1993,Bronze,Professional,N
44,Sandra,Brunner,Bellflower,USA,5/20/1917,S,$30K - $50K,M,1,High School Degree,1/7/1992,Bronze,Skilled Manual,Y
45,Ernest,Staton,Renton,USA,8/9/1916,S,$50K - $70K,M,5,Bachelors Degree,5/7/1994,Golden,Management,Y
46,Rose,Sims,Mill Valley,USA,2/10/1928,M,$70K - $90K,F,1,Graduate Degree,11/22/1992,Silver,Professional,N
47,Lauretta,De Carlo,Oak Bay,Canada,9/1/1951,M,$50K - $70K,M,0,Bachelors Degree,5/17/1992,Bronze,Professional,N
48,Mary,Williams,Camacho,Mexico,10/17/1927,M,$50K - $70K,M,0,Bachelors Degree,5/4/1994,Bronze,Professional,N
49,Terri,Burke,Arcadia,USA,12/2/1930,S,$30K - $50K,F,4,High School Degree,4/20/1992,Bronze,Skilled Manual,N
50,Audrey,Osborn,Altadena,USA,3/9/1922,S,$110K - $130K,M,4,Partial High School,6/3/1993,Bronze,Professional,Y
51,Brian,Binai,Oakland,USA,5/2/1955,M,$90K - $110K,F,4,Graduate Degree,12/5/1993,Bronze,Professional,N
52,Concepcion,Lozada,Tixapan,Mexico,9/4/1912,S,$70K - $90K,F,3,Bachelors Degree,3/19/1994,Silver,Professional,N
53,Paul,Tays,Oak Bay,Canada,12/24/1932,M,$70K - $90K,M,4,Graduate Degree,7/10/1993,Normal,Management,Y
54,Cheryl,Thorton,Metchosin,Canada,9/24/1961,S,$30K - $50K,F,0,Partial College,7/24/1992,Bronze,Professional,Y
55,Gary,Dumin,Grossmont,USA,2/8/1924,M,$10K - $30K,M,3,Partial High School,3/10/1992,Normal,Skilled Manual,Y
56,Pat,Chin,Imperial Beach,USA,11/21/1935,S,$10K - $30K,M,3,Partial High School,4/11/1990,Normal,Manual,N
